key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,4,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,-5,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,3,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,1,,,,1,,,,,,,,,
up,0,2,,,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,4,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,-4,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,-5,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,-4,,,,1,,,,,,,,,
up,0,1,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,4,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,-2,,,,1,,,,,,,,,
up,0,2,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,3,,,,1,,,,,,,,,
up,0,4,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,,
up,0,2,,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,
down,1,4,,,,,1,,,,,,,,
down,1,-5,,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,,
down,1,-1,,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,,
down,1,3,,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,,
down,1,0,,,1,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,,
down,1,0,,,1,,,,,,,,,,
down,1,3,,,,,1,,,,,,,,
down,1,2,,,,,1,,,,,,,,
down,1,1,,,,,1,,,,respond yes,respond no,,prop hit= hit/hit+miss,0.806451613
down,1,-4,,,,,1,,,signal present,hit,miss,,prop fa= fa/fa+corr rej,0.486486486
down,1,1,,,,,,,,ignal absent,false alarm,correct rejection,,,
down,1,-3,,,,,1,,,,,,,d pim= z(prop hit)- z(prop fa),0.898774194
down,1,-3,,,,,1,,,,,,,c= -z(prop hi) + z(prop fa)/2,0.847954441
down,0,0,,,1,,1,,,,respond yes,respond no,,,
down,1,-1,,,,,1,,,signal present,50,12,,,
down,0,0,,,1,,,,,signal absent,18,19,,,
down,0,0,,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,,
down,1,-1,,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,,
down,1,-3,,,,,1,,,,,,,,
down,1,-1,,,,,1,,,,,,,,
down,1,-2,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,
,,,,50,12,18,19,,,,,,,,
